project_title,short_description,long_description,Crisis finance determination,Crisis finance confidence ML
"Capacity Building, Preparedness, and Planning","CAPACITY BUILDING, PREPAREDNESS, AND PLANNING","Improve the ability of the USG, host countries and other partners to prepare for and mitigate the effects of disasters, including both natural disasters and complex emergencies, taking into account the differences in men and womens freedom of movement and access to information. Activities under this component include any efforts to enhance the capacities of the USG (in Washington and in the field), humanitarian assistance providers, national host-country authorities, and local communities to engage in disaster reduction and response activities. Activities consist of standardized and coordinated assessments, monitoring, information sharing, data and situational analysis, joint planning, enhancement of coping mechanisms, including the capacity to address adaptation to constantly changing situations on the ground including climate variability and climate change.",Yes,0.991796731948853
"Capacity Building, Preparedness, and Planning","CAPACITY BUILDING, PREPAREDNESS, AND PLANNING","Improve the ability of the USG, host countries and other partners to prepare for and mitigate the effects of disasters, including both natural disasters and complex emergencies, taking into account the differences in men and womens freedom of movement and access to information. Activities under this component include any efforts to enhance the capacities of the USG (in Washington and in the field), humanitarian assistance providers, national host-country authorities, and local communities to engage in disaster reduction and response activities. Activities consist of standardized and coordinated assessments, monitoring, information sharing, data and situational analysis, joint planning, enhancement of coping mechanisms, including the capacity to address adaptation to constantly changing situations on the ground including climate variability and climate change.",Yes,0.991796731948853
Office of Weapons Removal and Abatement - WRA Task Order 06-017: Albania,OFFICE OF WEAPONS REMOVAL AND ABATEMENT - WRA TASK ORDER 06-017: ALBANIA,"U.S. Department of State: Office of Weapons Removal and Abatement. [Covers management and professional support services generally aim at improving the efficiency or effectiveness of management or administrative systems and normally take the form of information, opinion, advice, training or direct assistance. Contracts may be with firms or individuals.]",Yes,0.991773545742035
Department of Alta Verapaz Municipality of Santa Catalina La Tinta Secache community,DEPARTMENT OF ALTA VERAPAZ MUNICIPALITY OF SANTA CATALINA LA TINTA SECACHE COMMUNITY,"TÃ­tulo completo del proyecto: Departamento Alta Verapaz, municipio de Santa Catalina La Tinta, comunidad Secache :: El presente proyecto tiene como objetivo promover el empoderamiento socioeconÃ³mico de 47 mujeres rurales pertenecientes a colectivos vulnerados, mediante el acceso a la economÃ­a visible y remunerada. En un sistema patriarcal, que imposibilita el acceso a la propiedad de la tierra a las mujeres y teniendo en cuenta la crisis agraria que vive el sector, el proyecto busca una alternativa de medios de vida rurales, en que los activos estÃ©n en propiedad de las mujeres. Las 47 mujeres participarÃ¡n en capacitaciones sobre la gestiÃ³n del ganado y la producciÃ³n lechera,  emprendiendo acciones que mejoren la resiliencia de la zona. De esta forma, el proyecto contribuirÃ¡ a mejorar la calidad de vida de estas mujeres y de sus familias, mejorando sus capacidades productivas y de generaciÃ³n de ingresos, creando incentivos econÃ³micos mediante la promociÃ³n de la producciÃ³n lechera a pequeÃ±a escala. El proyecto resulta pertinente en un contexto en el que la situaciÃ³n de  vulnerabilidad de las familias agricultoras de las castas desfavorecidas del distrito de Anantapur se ha visto agravada por la situaciÃ³n actual de la pandemia COVID-19, ya que dependen de  los salarios diarios y una Ãºnica fuente de ingresos como modo de vida. En el presente proyecto, las mujeres beneficiarias fortalecerÃ¡n a su vez sus procesos de empoderamiento a travÃ©s de su organizaciÃ³n en estructuras comunitarias de base que son promovidas por el proyecto. En paralelo al presente proyecto se estÃ¡ llevando a cabo  un estudio de mercado con el objetivo de garantizar la viabilidad de una segunda fase dirigida a la comercializaciÃ³n a mayor escala de leche y productos lÃ¡cteos a travÃ©s de estructuras de economÃ­a social de mujeres.",Yes,0.991758406162262
Support to Medair for emergency preparedness and response for the South Sudan Humanitarian Assistance and resilience building programme â Internationa,SUPPORT TO MEDAIR FOR EMERGENCY PREPAREDNESS AND RESPONSE FOR THE SOUTH SUDAN HUMANITARIAN ASSISTANCE AND RESILIENCE BUILDING PROGRAMME â INTERNATIONA,"To help approximately three million South Sudanese by providing critical life-saving support and helping people to better cope with shocks from conflict, drought and flooding. This programme aims to save the lives of an estimated two million people who will receive at least one form of humanitarian assistance, and build the capacity of an estimated one million people to recover and cope better with shocks.  Over six years this programme will provide food, shelter and access to water and health services to millions of vulnerable people, including women and children.",Yes,0.99174576997757
Support to Medair for emergency preparedness and response for the South Sudan Humanitarian Assistance and resilience building programme â Internationa,SUPPORT TO MEDAIR FOR EMERGENCY PREPAREDNESS AND RESPONSE FOR THE SOUTH SUDAN HUMANITARIAN ASSISTANCE AND RESILIENCE BUILDING PROGRAMME â INTERNATIONA,"To help approximately three million South Sudanese by providing critical life-saving support and helping people to better cope with shocks from conflict, drought and flooding. This programme aims to save the lives of an estimated two million people who will receive at least one form of humanitarian assistance, and build the capacity of an estimated one million people to recover and cope better with shocks.  Over six years this programme will provide food, shelter and access to water and health services to millions of vulnerable people, including women and children.",Yes,0.99174576997757
Support to Medair for emergency preparedness and response for the South Sudan Humanitarian Assistance and resilience building programme â Internationa,SUPPORT TO MEDAIR FOR EMERGENCY PREPAREDNESS AND RESPONSE FOR THE SOUTH SUDAN HUMANITARIAN ASSISTANCE AND RESILIENCE BUILDING PROGRAMME â INTERNATIONA,"To help approximately three million South Sudanese by providing critical life-saving support and helping people to better cope with shocks from conflict, drought and flooding. This programme aims to save the lives of an estimated two million people who will receive at least one form of humanitarian assistance, and build the capacity of an estimated one million people to recover and cope better with shocks.  Over six years this programme will provide food, shelter and access to water and health services to millions of vulnerable people, including women and children.",Yes,0.99174576997757
Multi-sector humanitarian assistance,MULTI-SECTOR HUMANITARIAN ASSISTANCE,"Multi-sector humanitarian assistance: AG/FS, Nutrition, WASH and Health Services for Vulnerable Populations in Somalia",Yes,0.991738736629486
Promoting a model for sustainable l[Financial Assistance- Voluntary Contributions],PROMOTING A MODEL FOR SUSTAINABLE L[FINANCIAL ASSISTANCE- VOLUNTARY CONTRIBUTIONS],Promoting a model for sustainable livelihoods and social cohesion in Bassikounou Moughata,Yes,0.991733431816101
Office of Weapons Removal and Abatement - PM/WRA Administrative & Professional Support,OFFICE OF WEAPONS REMOVAL AND ABATEMENT - PM/WRA ADMINISTRATIVE & PROFESSIONAL SUPPORT,"U.S. Department of State: Office of Weapons Removal and Abatement. [Covers management and professional support services generally aim at improving the efficiency or effectiveness of management or administrative systems and normally take the form of information, opinion, advice, training or direct assistance. Contracts may be with firms or individuals.]",Yes,0.991730749607086
Promote educational continuity and the community s responsiveness to new challenges in the education system,PROMOTE EDUCATIONAL CONTINUITY AND THE COMMUNITY S RESPONSIVENESS TO NEW CHALLENGES IN THE EDUCATION SYSTEM,"El proyecto quiere asegurar que las comunidades educativas de 6 escuelas del sistemapÃºblico educativo de El Salvador fortalezcan sus capacidades para garantizar el derecho a una educaciÃ³n de calidad, en el contexto de la crisis sanitaria. La matrÃ­cula de estos centros asciende a 4.950 estudiantes (2.583 varones y 2.367 mujeres), procedentes de zonas rurales y urbano marginales de escasos recursos econÃ³micos.EL socio local serÃ¡ Fe y AlegrÃ­a EL Salvador, aliado estratÃ©gico de Entreculturas, que cuenta con una red de 18 escuelas que son parte del sistema educativo pÃºblico, y 5 centros tÃ©cnicos. De los 6 centros que participan en el proyecto, 4 son parte de esa red, y 2 son dos escuelas directamente vinculadas al Ministerio de EducaciÃ³n. Su participaciÃ³n hace realidad un anhelo de ampliar la acciÃ³n de FyA a nuevas escuelas, como un aporte mÃ¡s a promover una educaciÃ³n pÃºblica de calidad.",Yes,0.991719245910645
Famine and Early Warning Systems Network (FEWS NET),FAMINE AND EARLY WARNING SYSTEMS NETWORK (FEWS NET),USAID/Malawi's Famine Early Warning Systems Network activity is an integral part of USAID's Feed the Future portfolio and plays a pivotal role in strengthening donor and government ability to respond to new and continuing threats of food insecurity and vulnerability.,Yes,0.991701304912567
Multi-sectoral humanitarian assistance,MULTI-SECTORAL HUMANITARIAN ASSISTANCE,"Nutrition, WASH, agriculture, and food security assistance in Kenya.",Yes,0.991676926612854
Humanitarian Aid response and preparation for the Covid-19 crisis in Palestine,HUMANITARIAN AID RESPONSE AND PREPARATION FOR THE COVID-19 CRISIS IN PALESTINE,TÃ­tulo completo del proyecto: Ayuda humanitaria respuesta y preparaciÃ³n para la crisis de Covid-19 en Palestina ::,Yes,0.991668820381165
Natural Resource Management Programme - Kenya,NATURAL RESOURCE MANAGEMENT PROGRAMME - KENYA,"The Governments of Kenya and Denmark have agreed to jointly formulate and implement the Natural Resource Management (NRM) Programme in the period 01 January 2010 to 31 December 2014. Further to DanidaÂ¿s Board approval, Denmark supports the Natural Resource sector in Kenya in the amount of Danish Kroner 375 million (approximately K.Shs. 5.325 billion) over a 5 year period. The main focus of the NRM Programme is the reduction of poverty through the sustainable management of natural resources. The programme will support the demand from community level for technical services from both public and private service providers, and support an appropriate policy and legal framework for the management of natural resources. It will support the harnessing of opportunities from sustainable use of natural resources, while also safeguarding against the risks to livelihoods from environmental degradation and climate change. It will strengthen local governance capacities in the natural resource sectors. The programme's Development Objective is: Contribute to reduced poverty in the context of Kenya's Vision 2030 in safeguarding the state of the environment and promoting sustainable management of natural resources.The Immediate Objectives are the objectives of the three components: 1. Enabling policy and regulatory framework for environmental and natural resource management, including climate change, developed and implemented with a poverty orientation- 2. Poverty reduction, enhanced food security, reduced livelihood vulnerability, and improved natural resource management systems in drought-prone and marginalised districts and communities.3. Civil society organisations including local communities and private sector service providers are capacitated to support and influence natural resource management, as a contribution towards poverty alleviation.To achieve these objectives support is provided to partners in the Government of Kenya, private sector and civil society.",Yes,0.991658389568329
